"ikey";"Location";"Source";"Dating";"Language";"ID";"uncertain_dating";"DAT_min";"DAT_max"
"PH277584";"Apamea";"IK Apameia (Bith.) u. Pylai 27A";"3rd c. AD";"Greek";"I_50";FALSE;200;299
"PH277564";"Apamea";"IK Apameia (Bith.) u. Pylai 8";"3rd c. AD";"Greek";"I_51";FALSE;200;299
"PH277641";"Apamea";"IK Apameia (Bith.) u. Pylai 121";"2nd c. BC";"Greek";"I_52";FALSE;-199;-100
"PH277645";"Apamea";"IK Apameia (Bith.) u. Pylai 125";"2nd c. BC";"Greek";"I_53";FALSE;-199;-100
"PH277580";"Apamea";"IK Apameia (Bith.) u. Pylai 24";"2nd c. AD";"Greek";"I_54";TRUE;100;199
"PH277561";"Apamea";"IK Apameia (Bith.) u. Pylai 5";"2nd c. AD";"Greek";"I_55";TRUE;100;199
"PH277562";"Apamea";"IK Apameia (Bith.) u. Pylai 6";"2nd c. AD";"Greek";"I_56";TRUE;100;199
"PH277628";"Apamea";"IK Apameia (Bith.) u. Pylai 108";"2nd c. AD";"Greek";"I_57";FALSE;100;199
"PH279921";"Apamea";"SEG 41: 1090";"2nd – 3rd c. AD";"Greek";"I_58";FALSE;100;299
"PH277662";"Apamea";"IK Apameia (Bith.) u. Pylai 140";"2nd – 1st c. BC";"Greek";"I_59";TRUE;-199;0
"PH277620";"Apamea";"IK Apameia (Bith.) u. Pylai 62";"260/261 AD";"Greek";"I_60";FALSE;260;261
"PH277664";"Apamea";"IK Apameia (Bith.) u. Pylai 142";"250–300 AD";"Greek";"I_61";FALSE;250;300
"PH277596";"Apamea";"IK Apameia (Bith.) u. Pylai 39";"250–300 AD";"Greek";"I_62";FALSE;250;300
"PH277663";"Apamea";"IK Apameia (Bith.) u. Pylai 141";"200–250 AD";"Greek";"I_63";FALSE;200;250
"PH279922";"Apamea";"SEG 41: 1091";"200–150 BC";"Greek";"I_64";FALSE;-200;-150
"PH277638";"Apamea";"IK Apameia (Bith.) u. Pylai 118";"1st c. BC";"Greek";"I_65";FALSE;-99;0
"PH277597";"Apamea";"IK Apameia (Bith.) u. Pylai 40";"1st c. AD";"Greek";"I_66";TRUE;0;99
"PH277640";"Apamea";"IK Apameia (Bith.) u. Pylai 120";"1st c. AD";"Greek";"I_67";FALSE;0;99
"PH277644";"Apamea";"IK Apameia (Bith.) u. Pylai 124";"1st c. AD";"Greek";"I_68";FALSE;0;99
"PH277609";"Apamea";"IK Apameia (Bith.) u. Pylai 51";"1st c. AD";"Latin";"I_69";FALSE;0;99
"PH277635";"Apamea";"IK Apameia (Bith.) u. Pylai 115";"1st – beg. of the 2nd c. AD";"Greek";"I_70";FALSE;0;120
"PH277661";"Apamea";"IK Apameia (Bith.) u. Pylai 139";"1st – 2nd c. AD";"Greek";"I_71";FALSE;0;199
"PH277604";"Apamea";"IK Apameia (Bith.) u. Pylai 46";"1st – 2nd c. AD";"Greek";"I_72";FALSE;0;199
"PH279923";"Apamea";"SEG 41: 1092";"1st – 2nd c. AD";"Greek";"I_73";FALSE;0;199
"PH277634";"Apamea";"IK Apameia (Bith.) u. Pylai 114";"178–187 AD";"Greek";"I_74";FALSE;178;187
"PH277560";"Apamea";"IK Apameia (Bith.) u. Pylai 4";"128/129 AD";"Latin";"I_75";FALSE;128;129
"HD049164";"Apamea";"AE 1998, 1288";"117 AD";"Latin";"I_76";FALSE;117;117
"PH277557";"Apamea";"IK Apameia (Bith.) u. Pylai 1";"11 AD";"Latin";"I_77";FALSE;11;11
"PH277566";"Apamea";"IK Apameia (Bith.) u. Pylai 10";NA;"Greek";"I_78";FALSE;NA;NA
"PH277567";"Apamea";"IK Apameia (Bith.) u. Pylai 11";NA;"Greek";"I_79";FALSE;NA;NA
"PH277636";"Apamea";"IK Apameia (Bith.) u. Pylai 116";NA;"Greek";"I_80";FALSE;NA;NA
"PH277568";"Apamea";"IK Apameia (Bith.) u. Pylai 12";NA;"Greek";"I_81";FALSE;NA;NA
"PH277570";"Apamea";"IK Apameia (Bith.) u. Pylai 14";NA;"Greek";"I_82";FALSE;NA;NA
"PH277665";"Apamea";"IK Apameia (Bith.) u. Pylai 143";NA;"Greek";"I_83";FALSE;NA;NA
"PH277666";"Apamea";"IK Apameia (Bith.) u. Pylai 144";NA;"Greek";"I_84";FALSE;NA;NA
"PH277571";"Apamea";"IK Apameia (Bith.) u. Pylai 15";NA;"Latin";"I_85";FALSE;NA;NA
"PH277573";"Apamea";"IK Apameia (Bith.) u. Pylai 17";NA;"Latin";"I_86";FALSE;NA;NA
"PH277574";"Apamea";"IK Apameia (Bith.) u. Pylai 18";NA;"Greek/Latin";"I_87";FALSE;NA;NA
"PH277575";"Apamea";"IK Apameia (Bith.) u. Pylai 19";NA;"Latin";"I_88";FALSE;NA;NA
"PH277576";"Apamea";"IK Apameia (Bith.) u. Pylai 20";NA;"Greek";"I_89";FALSE;NA;NA
"PH277577";"Apamea";"IK Apameia (Bith.) u. Pylai 21";NA;"Latin";"I_90";FALSE;NA;NA
"PH277579";"Apamea";"IK Apameia (Bith.) u. Pylai 23";NA;"Latin";"I_91";FALSE;NA;NA
"PH277583";"Apamea";"IK Apameia (Bith.) u. Pylai 27";NA;"Greek";"I_92";FALSE;NA;NA
"PH277585";"Apamea";"IK Apameia (Bith.) u. Pylai 28";NA;"Greek";"I_93";FALSE;NA;NA
"PH277586";"Apamea";"IK Apameia (Bith.) u. Pylai 29";NA;"Greek";"I_94";FALSE;NA;NA
"PH277588";"Apamea";"IK Apameia (Bith.) u. Pylai 31";NA;"Greek";"I_95";FALSE;NA;NA
"PH277589";"Apamea";"IK Apameia (Bith.) u. Pylai 32";NA;"Greek";"I_96";FALSE;NA;NA
"PH277590";"Apamea";"IK Apameia (Bith.) u. Pylai 33";NA;"Greek";"I_97";FALSE;NA;NA
"PH277591";"Apamea";"IK Apameia (Bith.) u. Pylai 34";NA;"Greek";"I_98";FALSE;NA;NA
"PH277592";"Apamea";"IK Apameia (Bith.) u. Pylai 35";NA;"Greek";"I_99";FALSE;NA;NA
"PH277593";"Apamea";"IK Apameia (Bith.) u. Pylai 36";NA;"Greek";"I_100";FALSE;NA;NA
"PH277594";"Apamea";"IK Apameia (Bith.) u. Pylai 37";NA;"Greek";"I_101";FALSE;NA;NA
"PH277599";"Apamea";"IK Apameia (Bith.) u. Pylai 42";NA;"Greek";"I_102";FALSE;NA;NA
"PH277605";"Apamea";"IK Apameia (Bith.) u. Pylai 47";NA;"Greek";"I_103";FALSE;NA;NA
"PH277606";"Apamea";"IK Apameia (Bith.) u. Pylai 48";NA;"Greek";"I_104";FALSE;NA;NA
"PH277608";"Apamea";"IK Apameia (Bith.) u. Pylai 50";NA;"Greek";"I_105";FALSE;NA;NA
"PH277610";"Apamea";"IK Apameia (Bith.) u. Pylai 52";NA;"Greek";"I_106";FALSE;NA;NA
"PH277611";"Apamea";"IK Apameia (Bith.) u. Pylai 53";NA;"Greek";"I_107";FALSE;NA;NA
"PH277612";"Apamea";"IK Apameia (Bith.) u. Pylai 54";NA;"Greek";"I_108";FALSE;NA;NA
"PH277613";"Apamea";"IK Apameia (Bith.) u. Pylai 55";NA;"Greek";"I_109";FALSE;NA;NA
"PH277614";"Apamea";"IK Apameia (Bith.) u. Pylai 56";NA;"Greek";"I_110";FALSE;NA;NA
"PH277615";"Apamea";"IK Apameia (Bith.) u. Pylai 57";NA;"Greek";"I_111";FALSE;NA;NA
"PH277616";"Apamea";"IK Apameia (Bith.) u. Pylai 58";NA;"Greek";"I_112";FALSE;NA;NA
"PH277563";"Apamea";"IK Apameia (Bith.) u. Pylai 7";NA;"Greek";"I_113";FALSE;NA;NA
"PH277565";"Apamea";"IK Apameia (Bith.) u. Pylai 9";NA;"Greek";"I_114";FALSE;NA;NA
NA;"Apollonia ad Rhyndacum";"SEG 59: 1416";"Roman Imperial period";"Greek";"I_115";FALSE;-31;395
NA;"Apollonia ad Rhyndacum";"SEG 60: 1318";"AD 200 - 210";"Greek";"I_116";FALSE;200;210
NA;"Apollonia ad Rhyndacum";"JHS 17, 270, 11";"AD 117–138";"Greek";"I_117";FALSE;117;138
NA;"Apollonia ad Rhyndacum";"SEG 46: 1596";"2nd century AD";"Greek";"I_118";FALSE;100;199
NA;"Apollonia ad Rhyndacum";"JHS 17, 269, 5";NA;"Greek";"I_119";FALSE;NA;NA
NA;"Apollonia ad Rhyndacum";"JHS 17, 269, 6";NA;"Greek";"I_120";FALSE;NA;NA
NA;"Apollonia ad Rhyndacum";"JHS 17, 270, 7a";NA;"Greek";"I_121";FALSE;NA;NA
NA;"Apollonia ad Rhyndacum";"JHS 17, 270, 7b";NA;"Greek";"I_122";FALSE;NA;NA
NA;"Apollonia ad Rhyndacum";"JHS 17, 270, 8";NA;"Greek";"I_123";FALSE;NA;NA
NA;"Apollonia ad Rhyndacum";"JHS 17, 270, 9";NA;"Greek";"I_124";FALSE;NA;NA
NA;"Apollonia ad Rhyndacum";"JHS 17, 270, 10";NA;"Greek";"I_125";FALSE;NA;NA
NA;"Apollonia ad Rhyndacum";"SEG 60: 1319";NA;"Greek";"I_126";FALSE;NA;NA
NA;"Caesarea Germanice";"SEG 61: 1040";"Roman Imperial period";"Greek";"I_127";FALSE;-31;395
NA;"Caesarea Germanice";"AE 2007, 1331";"AD 81–96";"Greek";"I_128";FALSE;81;96
"PH277667";"Caesarea Germanice";"EpigrAnat 15, 34, 1";"AD 180–212";"Greek";"I_129";FALSE;180;212
"PH277668";"Caesarea Germanice";"EpigrAnat 15, 36, 2";"2nd – 3rd c. AD";"Greek";"I_130";FALSE;100;299
"PH277669";"Caesarea Germanice";"EpigrAnat 15, 37, 3";NA;"Greek";"I_131";FALSE;NA;NA
"PH279276";"Chalcedon";"IK Kalchedon 50";"Roman Imp. period";"Greek";"I_132";FALSE;-31;395
"PH279280";"Chalcedon";"IK Kalchedon 54";"Roman Imp. period";"Latin";"I_133";FALSE;-31;395
"PH279281";"Chalcedon";"IK Kalchedon 55";"Roman Imp. period";"Latin";"I_134";FALSE;-31;395
"PH279282";"Chalcedon";"IK Kalchedon 56";"Roman Imp. period";"Latin";"I_135";FALSE;-31;395
"PH279933";"Chalcedon";"SEG 42: 1110";"Roman Imp. period";"Greek";"I_136";FALSE;-31;395
"PH279853";"Chalcedon";"SEG 37: 1029";"Late Roman Imp. period";"Greek";"I_137";TRUE;193;395
"PH279270";"Chalcedon";"IK Kalchedon 44";"Late Hellenistic period";"Greek";"I_138";FALSE;-150;-74
"PH279274";"Chalcedon";"IK Kalchedon 48";"Late Hellenistic period";"Greek";"I_139";FALSE;-150;-74
"PH279275";"Chalcedon";"IK Kalchedon 49";"Late Hellenistic period";"Greek";"I_140";FALSE;-150;-74
"PH279231";"Chalcedon";"IK Kalchedon 5";"late 3rd – early 2nd c. BC";"Greek";"I_141";FALSE;-220;-180
