,Dating,DAT_min,DAT_max
1,Roman Imp. period,1,395
6,Early/Middle Roman Imp. p.,1,192
7,Early Roman Imp. period,1,69
10,Roman Imperial period,1,395
26,Roman Imp. period ,1,395
