,Dating,DAT_min,DAT_max
1,Roman Imp. period,0,395
6,Early/Middle Roman Imp. p.,0,192
7,Early Roman Imp. period,0,69
10,Roman Imperial period,0,395
26,Roman Imp. period ,0,395
