ikey	Location	Source	Chronological Frame	Language
PH279718	Claudiopolis	BCH 27, 323, 25	---	Greek
PH279719	Claudiopolis	BCH 27, 323, 26	---	Greek
PH279720	Claudiopolis	BCH 27, 324, 27	---	Greek
PH279735	Claudiopolis	DenkschrWien 75,1, 54, 137	---	Greek
PH279737	Claudiopolis	DenkschrWien 75,1, 54, 139	---	Greek
PH279738	Claudiopolis	DenkschrWien 75,1, 54, 140	---	Latin
PH279739	Claudiopolis	DenkschrWien 75,1, 55, 141	---	Greek
PH279740	Claudiopolis	DenkschrWien 75,1, 55, 142	---	Greek
PH279741	Claudiopolis	DenkschrWien 75,1, 55, 143	---	Greek
PH279742	Claudiopolis	DenkschrWien 75,1, 55, 144	---	Greek
PH279743	Claudiopolis	DenkschrWien 75,1, 56, 145	---	Greek
PH279744	Claudiopolis	DenkschrWien 75,1, 56, 146	---	Greek
PH279745	Claudiopolis	DenkschrWien 75,1, 56, 147	---	Greek
PH279746	Claudiopolis	DenkschrWien 75,1, 56, 148	---	Greek
PH279747	Claudiopolis	DenkschrWien 75,1, 57, 149	---	Greek
PH279748	Claudiopolis	DenkschrWien 75,1, 57, 150	---	Greek
PH279749	Claudiopolis	DenkschrWien 75,1, 57, 151	---	Greek
PH279750	Claudiopolis	DenkschrWien 75,1, 57, 152	---	Greek
PH279751	Claudiopolis	DenkschrWien 75,1, 58, 153	---	Greek
PH279752	Claudiopolis	DenkschrWien 75,1, 58, 154	---	Greek
PH279753	Claudiopolis	DenkschrWien 75,1, 58, 156	---	Greek
PH279754	Claudiopolis	DenkschrWien 75,1, 59, 157	---	Greek
PH279755	Claudiopolis	DenkschrWien 75,1, 59, 158	---	Greek
	Claudiopolis	CIL III: 347; CIL III: 6996	---	Gr/Lat
PH279374	Claudiopolis	IK Klaudiu Polis 10	---	Greek
PH279461	Claudiopolis	IK Klaudiu Polis 100	---	Greek
PH279462	Claudiopolis	IK Klaudiu Polis 101	---	Greek
PH279463	Claudiopolis	IK Klaudiu Polis 102	---	Greek
PH279464	Claudiopolis	IK Klaudiu Polis 103	---	Greek
PH279465	Claudiopolis	IK Klaudiu Polis 104	---	Greek
PH279466	Claudiopolis	IK Klaudiu Polis 105	---	Greek
PH279467	Claudiopolis	IK Klaudiu Polis 106	---	Greek
PH279468	Claudiopolis	IK Klaudiu Polis 107	---	Greek
PH279469	Claudiopolis	IK Klaudiu Polis 108	---	Greek
PH279470	Claudiopolis	IK Klaudiu Polis 109	---	Greek
PH279375	Claudiopolis	IK Klaudiu Polis 11	---	Latin
PH279471	Claudiopolis	IK Klaudiu Polis 110	---	Greek
PH279472	Claudiopolis	IK Klaudiu Polis 111	---	Greek
PH279473	Claudiopolis	IK Klaudiu Polis 112	---	Greek
PH279474	Claudiopolis	IK Klaudiu Polis 113	---	Greek
PH279475	Claudiopolis	IK Klaudiu Polis 114	---	Greek
PH279476	Claudiopolis	IK Klaudiu Polis 115	---	Greek
PH279477	Claudiopolis	IK Klaudiu Polis 116	---	Greek
PH279478	Claudiopolis	IK Klaudiu Polis 117	---	Greek
PH279479	Claudiopolis	IK Klaudiu Polis 118	---	Greek
PH279480	Claudiopolis	IK Klaudiu Polis 119	---	Greek
PH279376	Claudiopolis	IK Klaudiu Polis 12	---	Greek
PH279481	Claudiopolis	IK Klaudiu Polis 120	---	Greek
PH279482	Claudiopolis	IK Klaudiu Polis 121	---	Greek
PH279483	Claudiopolis	IK Klaudiu Polis 122	---	Greek
PH279484	Claudiopolis	IK Klaudiu Polis 123	---	Greek
PH279485	Claudiopolis	IK Klaudiu Polis 124	---	Greek
PH279486	Claudiopolis	IK Klaudiu Polis 125	---	Greek
PH279487	Claudiopolis	IK Klaudiu Polis 126	---	Greek
PH279488	Claudiopolis	IK Klaudiu Polis 127	---	Greek
PH279489	Claudiopolis	IK Klaudiu Polis 128	---	Greek
PH279490	Claudiopolis	IK Klaudiu Polis 129	---	Greek
PH279377	Claudiopolis	IK Klaudiu Polis 13	---	Greek
PH279491	Claudiopolis	IK Klaudiu Polis 130	---	Greek
PH279492	Claudiopolis	IK Klaudiu Polis 131	---	Greek
PH279493	Claudiopolis	IK Klaudiu Polis 132	---	Greek
PH279494	Claudiopolis	IK Klaudiu Polis 133	---	Greek
PH279495	Claudiopolis	IK Klaudiu Polis 134	---	Greek
PH279496	Claudiopolis	IK Klaudiu Polis 135	---	Greek
PH279497	Claudiopolis	IK Klaudiu Polis 136	---	Greek
PH279498	Claudiopolis	IK Klaudiu Polis 137,a	---	Greek
PH279499	Claudiopolis	IK Klaudiu Polis 137,b	---	Greek
PH279500	Claudiopolis	IK Klaudiu Polis 138	---	Greek
PH279501	Claudiopolis	IK Klaudiu Polis 139	---	Greek
PH279378	Claudiopolis	IK Klaudiu Polis 14	---	Greek
PH279502	Claudiopolis	IK Klaudiu Polis 140	---	Greek
PH279503	Claudiopolis	IK Klaudiu Polis 141	---	Greek
PH279504	Claudiopolis	IK Klaudiu Polis 142	---	Greek
PH279505	Claudiopolis	IK Klaudiu Polis 143	---	Greek
PH279507	Claudiopolis	IK Klaudiu Polis 145	---	Greek
PH279508	Claudiopolis	IK Klaudiu Polis 146	---	Greek
PH279509	Claudiopolis	IK Klaudiu Polis 147	---	Greek
PH279510	Claudiopolis	IK Klaudiu Polis 148	---	Greek
PH279511	Claudiopolis	IK Klaudiu Polis 149	---	Greek
PH279379	Claudiopolis	IK Klaudiu Polis 15	---	Greek
PH279512	Claudiopolis	IK Klaudiu Polis 150	---	Greek
PH279513	Claudiopolis	IK Klaudiu Polis 151	---	Greek
PH279514	Claudiopolis	IK Klaudiu Polis 152	---	Greek
PH279515	Claudiopolis	IK Klaudiu Polis 153	---	Greek
PH279516	Claudiopolis	IK Klaudiu Polis 154	---	Greek
PH279517	Claudiopolis	IK Klaudiu Polis 155	---	Greek
PH279518	Claudiopolis	IK Klaudiu Polis 156	---	Greek
PH279519	Claudiopolis	IK Klaudiu Polis 157	---	Greek
PH279520	Claudiopolis	IK Klaudiu Polis 158	---	Greek
PH279521	Claudiopolis	IK Klaudiu Polis 159	---	Greek
PH279522	Claudiopolis	IK Klaudiu Polis 160	---	Greek
PH279523	Claudiopolis	IK Klaudiu Polis 161	---	Greek
PH279524	Claudiopolis	IK Klaudiu Polis 162	---	Greek
PH279525	Claudiopolis	IK Klaudiu Polis 163	---	Greek
PH279526	Claudiopolis	IK Klaudiu Polis 164	---	Greek
PH279527	Claudiopolis	IK Klaudiu Polis 165	---	Greek
PH279528	Claudiopolis	IK Klaudiu Polis 166	---	Latin
PH279529	Claudiopolis	IK Klaudiu Polis 167	---	Greek
PH279530	Claudiopolis	IK Klaudiu Polis 168	---	Greek
PH279531	Claudiopolis	IK Klaudiu Polis 169	---	Greek
PH279381	Claudiopolis	IK Klaudiu Polis 17	---	Greek
PH279532	Claudiopolis	IK Klaudiu Polis 170	---	Greek
PH279533	Claudiopolis	IK Klaudiu Polis 171	---	Greek
PH279534	Claudiopolis	IK Klaudiu Polis 172	---	Greek
PH279535	Claudiopolis	IK Klaudiu Polis 173	---	Greek
PH279536	Claudiopolis	IK Klaudiu Polis 174	---	Greek
PH279537	Claudiopolis	IK Klaudiu Polis 175	---	Greek
PH279538	Claudiopolis	IK Klaudiu Polis 176	---	Greek
PH279539	Claudiopolis	IK Klaudiu Polis 177	---	Greek
PH279540	Claudiopolis	IK Klaudiu Polis 178	---	Greek
PH279541	Claudiopolis	IK Klaudiu Polis 179	---	Greek
PH279382	Claudiopolis	IK Klaudiu Polis 18	---	Greek
PH279542	Claudiopolis	IK Klaudiu Polis 180	---	Greek
PH279383	Claudiopolis	IK Klaudiu Polis 19	---	Greek
PH279384	Claudiopolis	IK Klaudiu Polis 20	---	Greek
PH279385	Claudiopolis	IK Klaudiu Polis 21	---	Greek
PH279386	Claudiopolis	IK Klaudiu Polis 22	---	Greek
PH279387	Claudiopolis	IK Klaudiu Polis 23	---	Greek
PH279388	Claudiopolis	IK Klaudiu Polis 24	---	Greek
PH279389	Claudiopolis	IK Klaudiu Polis 25	---	Greek
PH279390	Claudiopolis	IK Klaudiu Polis 26	---	Greek
PH279391	Claudiopolis	IK Klaudiu Polis 27	---	Greek
PH279392	Claudiopolis	IK Klaudiu Polis 28	---	Greek
PH279393	Claudiopolis	IK Klaudiu Polis 29	---	Greek
PH279394	Claudiopolis	IK Klaudiu Polis 30	---	Greek
PH279395	Claudiopolis	IK Klaudiu Polis 31	---	Greek
PH279396	Claudiopolis	IK Klaudiu Polis 32	---	Greek
PH279397	Claudiopolis	IK Klaudiu Polis 33	---	Greek
PH279398	Claudiopolis	IK Klaudiu Polis 34	---	Greek
PH279399	Claudiopolis	IK Klaudiu Polis 35	---	Greek
PH279400HD012839	Claudiopolis	IK Klaudiu Polis 36	---	Latin
PH279401	Claudiopolis	IK Klaudiu Polis 37	---	Greek
PH279402	Claudiopolis	IK Klaudiu Polis 38	---	Greek
PH279403	Claudiopolis	IK Klaudiu Polis 39	---	Greek
PH279368	Claudiopolis	IK Klaudiu Polis 4	---	Greek
PH279404	Claudiopolis	IK Klaudiu Polis 40	---	Latin
PH279405	Claudiopolis	IK Klaudiu Polis 41	---	Greek
PH279406	Claudiopolis	IK Klaudiu Polis 42	---	Greek
PH279407	Claudiopolis	IK Klaudiu Polis 43	---	Greek
PH279409	Claudiopolis	IK Klaudiu Polis 45	---	Greek
PH279410	Claudiopolis	IK Klaudiu Polis 46	---	Greek
PH279369	Claudiopolis	IK Klaudiu Polis 5	---	Greek
PH279411	Claudiopolis	IK Klaudiu Polis 50	---	Greek
PH279418	Claudiopolis	IK Klaudiu Polis 57	---	Greek
PH279419	Claudiopolis	IK Klaudiu Polis 58	---	Greek
PH279370	Claudiopolis	IK Klaudiu Polis 6	---	Greek
PH279421	Claudiopolis	IK Klaudiu Polis 60	---	Greek
PH279422	Claudiopolis	IK Klaudiu Polis 61	---	Greek
PH279424	Claudiopolis	IK Klaudiu Polis 63	---	Greek
PH279425	Claudiopolis	IK Klaudiu Polis 64	---	Greek
PH279426	Claudiopolis	IK Klaudiu Polis 65	---	Greek
PH279427	Claudiopolis	IK Klaudiu Polis 66	---	Greek
PH279428	Claudiopolis	IK Klaudiu Polis 67	---	Greek
PH279429	Claudiopolis	IK Klaudiu Polis 68	---	Greek
PH279430	Claudiopolis	IK Klaudiu Polis 69	---	Greek
PH279433	Claudiopolis	IK Klaudiu Polis 72	---	Greek
PH279434	Claudiopolis	IK Klaudiu Polis 73	---	Greek
PH279435	Claudiopolis	IK Klaudiu Polis 74	---	Greek
PH279436	Claudiopolis	IK Klaudiu Polis 75	---	Greek
PH279437	Claudiopolis	IK Klaudiu Polis 76	---	Greek
PH279438	Claudiopolis	IK Klaudiu Polis 77	---	Greek
PH279439	Claudiopolis	IK Klaudiu Polis 78	---	Greek
PH279440	Claudiopolis	IK Klaudiu Polis 79	---	Greek
PH279372	Claudiopolis	IK Klaudiu Polis 8	---	Greek
PH279441	Claudiopolis	IK Klaudiu Polis 80	---	Greek
PH279442	Claudiopolis	IK Klaudiu Polis 81	---	Greek
PH279443	Claudiopolis	IK Klaudiu Polis 82	---	Greek
PH279444	Claudiopolis	IK Klaudiu Polis 83	---	Greek
PH279445	Claudiopolis	IK Klaudiu Polis 84	---	Greek
PH279446	Claudiopolis	IK Klaudiu Polis 85	---	Greek
PH279447	Claudiopolis	IK Klaudiu Polis 86	---	Greek
PH279448	Claudiopolis	IK Klaudiu Polis 87	---	Greek
PH279449	Claudiopolis	IK Klaudiu Polis 88	---	Greek
PH279450	Claudiopolis	IK Klaudiu Polis 89	---	Greek
PH279451	Claudiopolis	IK Klaudiu Polis 90	---	Greek
PH279452	Claudiopolis	IK Klaudiu Polis 91	---	Greek
PH279453	Claudiopolis	IK Klaudiu Polis 92	---	Greek
PH279454	Claudiopolis	IK Klaudiu Polis 93	---	Greek
PH279455	Claudiopolis	IK Klaudiu Polis 94	---	Greek
PH279456	Claudiopolis	IK Klaudiu Polis 95	---	Greek
PH279457	Claudiopolis	IK Klaudiu Polis 96	---	Greek
PH279458	Claudiopolis	IK Klaudiu Polis 97	---	Greek
PH279459	Claudiopolis	IK Klaudiu Polis 98	---	Greek
PH279460	Claudiopolis	IK Klaudiu Polis 99	---	Greek
PH279767	Claudiopolis	REA 42, 303, 1	---	Greek
PH279826	Claudiopolis	SEG 36: 1136, 39	---	Greek
PH279827	Claudiopolis	SEG 36: 1136, 41	---	Greek
	Creteia Flaviopolis	SEG 51: 1708bis	Roman Imperial period	Greek
	Creteia Flaviopolis	SEG 58: 1445	Roman Imperial period	Greek
	Creteia Flaviopolis	SEG 49: 1788	end of the 2nd - end of the 4th century AD	Greek
	Creteia Flaviopolis	SEG 58: 1446	after 212 AD	Greek
PH279730	Creteia Flaviopolis	GVI 302	2nd – 3rd c. AD	Greek
	Creteia Flaviopolis	AE 1994, 1630	209–210 AD	Greek
	Creteia Flaviopolis	AE 1994, 1628	1st – 2nd c. AD	Greek
HD028381	Creteia Flaviopolis	AE 1900, 0149	---	Latin
HD006523	Creteia Flaviopolis	AE 1986, 0645 (B)	---	Latin
	Creteia Flaviopolis	AE 1994, 1629	---	Greek
PH279768	Creteia Flaviopolis	SbBerlin 2, 874, 24	---	Greek
PH279835	Creteia Flaviopolis	SEG 36: 1150	---	Greek
N / A	Daskyleion	EpigrAnat 15, 46, 10	Byzantine period	Greek
N / A	Daskyleion	EpigrAnat 12, 72, 1	after 212 AD	Greek
	Daskyleion	SEG 42: 1098	70 BC	Greek
	Daskyleion	SEG 49: 1759	2nd century BC	Greek
	Daskyleion	SEG 49: 1761	2nd century AD ?	Greek
	Daskyleion	SEG 49: 1760	1st/2nd century AD	Greek
N / A	Daskyleion	EpigrAnat 12, 75–76, 4	193–330 AD	Greek
N / A	Daskyleion	EpigrAnat 15, 43–45, 7	161–180 AD	Greek
N / A	Daskyleion	EpigrAnat 12, 72–74, 2	---	Greek
N / A	Daskyleion	EpigrAnat 12, 74–75, 3	---	Greek
N / A	Daskyleion	EpigrAnat 12, 76, 5	---	Greek
N / A	Daskyleion	EpigrAnat 12, 76, 6	---	Greek
N / A	Daskyleion	EpigrAnat 15, 45, 8	---	Greek
N / A	Daskyleion	EpigrAnat 15, 46, 9	---	Greek
	Daskyleion	SEG 45: 1662	---	Greek
	Daskyleion	SEG 45: 1663	---	Greek
	Daskyleion	SEG 45: 1664	---	Greek
	Daskyleion	SEG 45: 1665	---	Greek
	Heraclea Pontica	SEG 59: 1447	Roman Imperial period	Greek
	Heraclea Pontica	SEG 59: 1448	Roman Imperial period	Greek
	Heraclea Pontica	SEG 59: 1449	Roman Imperial period	Greek
	Heraclea Pontica	SEG 59: 1450	Roman Imperial period	Greek
	Heraclea Pontica	SEG 59: 1451	Roman Imperial period	Greek
	Heraclea Pontica	SEG 59: 1452	Roman Imperial period	Greek
	Heraclea Pontica	SEG 59: 1453	Roman Imperial period	Greek
PH265219	Heraclea Pontica	IK Heraclea Pontica 17	mid. 2nd c. AD	Greek
PH265253	Heraclea Pontica	IK Heraclea Pontica 51	mid. 2nd c. AD	Greek
PH265285	Heraclea Pontica	IK Heraclea Pontica 83	mid. 2nd c. AD	Greek
PH265286	Heraclea Pontica	IK Heraclea Pontica 84	mid. 2nd c. AD	Greek
PH265287	Heraclea Pontica	IK Heraclea Pontica 85	mid. 2nd c. AD	Greek
PH265242	Heraclea Pontica	IK Heraclea Pontica 40	mid. 1st c. AD	Greek
PH265205	Heraclea Pontica	IK Heraclea Pontica 3	late 2nd c. AD	Greek
PH265252	Heraclea Pontica	IK Heraclea Pontica 50	end of the 1st c. AD	Greek
PH265261	Heraclea Pontica	IK Heraclea Pontica 58,b	Byzantine period	Greek
	Heraclea Pontica	SEG 59: 1454	AD 123	Greek
PH265265	Heraclea Pontica	IK Heraclea Pontica 61,b	AD	Greek
PH265274	Heraclea Pontica	IK Heraclea Pontica 72	98 AD	Greek
PH265272	Heraclea Pontica	IK Heraclea Pontica 70	400 BC	Greek
	Heraclea Pontica	AE 1994, 1627	383–392 AD	Latin
PH265262	Heraclea Pontica	IK Heraclea Pontica 59	383–392 AD	Latin
PH265208	Heraclea Pontica	IK Heraclea Pontica 6	383–392 AD	Gr/Lat
	Heraclea Pontica	SEG 61: 1074	2nd/3rd century AD	Greek
PH265203	Heraclea Pontica	IK Heraclea Pontica 1	2nd c. AD	Greek
PH265204	Heraclea Pontica	IK Heraclea Pontica 2	2nd c. AD	Greek
PH265229	Heraclea Pontica	IK Heraclea Pontica 27	2nd c. AD	Greek
PH265232	Heraclea Pontica	IK Heraclea Pontica 30	2nd c. AD	Greek
PH265209	Heraclea Pontica	IK Heraclea Pontica 7	2nd c. AD	Greek
PH265212	Heraclea Pontica	IK Heraclea Pontica 10	2nd – 3rd c. AD	Greek
PH265213	Heraclea Pontica	IK Heraclea Pontica 11	2nd – 3rd c. AD	Greek
PH265211	Heraclea Pontica	IK Heraclea Pontica 9	2nd – 3rd c. AD	Greek
	Heraclea Pontica	SEG 61: 1066	1st/2nd century AD	Greek
	Heraclea Pontica	SEG 61: 1069	1st/2nd century AD	Greek
PH265235	Heraclea Pontica	IK Heraclea Pontica 33	1st c. AD	Greek
	Heraclea Pontica	SEG 61: 1068	1st - 3rd century AD	Greek
	Heraclea Pontica	SEG 61: 1070	1st - 3rd century AD	Greek
	Heraclea Pontica	SEG 61: 1071	1st - 3rd century AD	Greek
	Heraclea Pontica	SEG 61: 1072	1st - 3rd century AD	Greek
	Heraclea Pontica	SEG 61: 1073	1st - 3rd century AD	Greek
PH265260	Heraclea Pontica	IK Heraclea Pontica 58,a	18–165 AD	Greek
	Heraclea Pontica	AE 1994, 1626	---	Greek
PH265191	Heraclea Pontica	BCH 13, 317, 21	---	Greek
	Heraclea Pontica	AE 1888, 49; AE 1889, 144;                  IGR III, 80; ILS 9476	---	Greek
PH265214	Heraclea Pontica	IK Heraclea Pontica 12	---	Greek
PH265215	Heraclea Pontica	IK Heraclea Pontica 13	---	Greek
PH265216	Heraclea Pontica	IK Heraclea Pontica 14	---	Greek
PH265217	Heraclea Pontica	IK Heraclea Pontica 15	---	Greek
PH265218	Heraclea Pontica	IK Heraclea Pontica 16	---	Greek
PH265220	Heraclea Pontica	IK Heraclea Pontica 18	---	Greek
PH265221	Heraclea Pontica	IK Heraclea Pontica 19	---	Greek
PH265222	Heraclea Pontica	IK Heraclea Pontica 20	---	Greek
PH265223	Heraclea Pontica	IK Heraclea Pontica 21	---	Greek
PH265224	Heraclea Pontica	IK Heraclea Pontica 22	---	Greek
PH265225	Heraclea Pontica	IK Heraclea Pontica 23	---	Greek
PH265226	Heraclea Pontica	IK Heraclea Pontica 24	---	Greek
PH265227	Heraclea Pontica	IK Heraclea Pontica 25	---	Greek
PH265228	Heraclea Pontica	IK Heraclea Pontica 26	---	Greek
PH265230	Heraclea Pontica	IK Heraclea Pontica 28	---	Greek
PH265231	Heraclea Pontica	IK Heraclea Pontica 29	---	Greek
PH265233	Heraclea Pontica	IK Heraclea Pontica 31	---	Greek
PH265234	Heraclea Pontica	IK Heraclea Pontica 32	---	Greek
PH265236	Heraclea Pontica	IK Heraclea Pontica 34	---	Greek
PH265237	Heraclea Pontica	IK Heraclea Pontica 35	---	Greek
PH265238	Heraclea Pontica	IK Heraclea Pontica 36	---	Greek
PH265239	Heraclea Pontica	IK Heraclea Pontica 37	---	Greek
PH265206	Heraclea Pontica	IK Heraclea Pontica 4	---	Greek
PH265243	Heraclea Pontica	IK Heraclea Pontica 41	---	Greek
PH265244	Heraclea Pontica	IK Heraclea Pontica 42	---	Greek
PH265245	Heraclea Pontica	IK Heraclea Pontica 43	---	Greek
PH265246	Heraclea Pontica	IK Heraclea Pontica 44	---	Greek
PH265247	Heraclea Pontica	IK Heraclea Pontica 45	---	Greek
PH265248	Heraclea Pontica	IK Heraclea Pontica 46	---	Greek
PH265249	Heraclea Pontica	IK Heraclea Pontica 47	---	Greek
PH265250	Heraclea Pontica	IK Heraclea Pontica 48	---	Greek
PH265251	Heraclea Pontica	IK Heraclea Pontica 49	---	Greek
PH265207	Heraclea Pontica	IK Heraclea Pontica 5	---	Greek
PH265254	Heraclea Pontica	IK Heraclea Pontica 52	---	Greek
PH265255	Heraclea Pontica	IK Heraclea Pontica 53	---	Greek
PH265256	Heraclea Pontica	IK Heraclea Pontica 54	---	Greek
PH265257	Heraclea Pontica	IK Heraclea Pontica 55	---	Greek
PH265258	Heraclea Pontica	IK Heraclea Pontica 56	---	Greek
PH265259	Heraclea Pontica	IK Heraclea Pontica 57	---	Greek
PH265263	Heraclea Pontica	IK Heraclea Pontica 60	---	Greek
PH265264	Heraclea Pontica	IK Heraclea Pontica 61,a	---	Greek
PH265266	Heraclea Pontica	IK Heraclea Pontica 64	---	Greek
PH265267	Heraclea Pontica	IK Heraclea Pontica 65	---	Greek
PH265268	Heraclea Pontica	IK Heraclea Pontica 66	---	Greek
PH265269	Heraclea Pontica	IK Heraclea Pontica 67	---	Greek
PH265270	Heraclea Pontica	IK Heraclea Pontica 68	---	Greek
PH265271	Heraclea Pontica	IK Heraclea Pontica 69	---	Greek
PH265273	Heraclea Pontica	IK Heraclea Pontica 71	---	Greek
PH265275	Heraclea Pontica	IK Heraclea Pontica 73	---	Greek
PH265276	Heraclea Pontica	IK Heraclea Pontica 74	---	Greek
PH265277	Heraclea Pontica	IK Heraclea Pontica 75	---	Greek
PH265278	Heraclea Pontica	IK Heraclea Pontica 76	---	Greek
PH265279	Heraclea Pontica	IK Heraclea Pontica 77	---	Greek
PH265280	Heraclea Pontica	IK Heraclea Pontica 78	---	Greek
PH265281	Heraclea Pontica	IK Heraclea Pontica 79	---	Greek
PH265210	Heraclea Pontica	IK Heraclea Pontica 8	---	Greek
PH265282	Heraclea Pontica	IK Heraclea Pontica 80	---	Greek
PH265284	Heraclea Pontica	IK Heraclea Pontica 82	---	Greek
PH265283	Heraclea Pontica	IK Heraclea Pontica 81	---	Greek
	Heraclea Pontica	SEG 48: 1503	---	Greek
	Heraclea Pontica	SEG 58: 1465	---	Greek
HD051807	Heraclea Pontica 	AE 1994, 1627	383–392 AD	Latin
HD006520	Heraclea Pontica 	AE 1986, 0643	---	Latin
	Juliopolis	SEG 50: 1223	Roman Imperial period	Greek
	Juliopolis	SEG 50: 1224	Roman Imperial period	Greek
	Juliopolis	AE 2000, 1357; SEG 50: 1222	2nd/3rd century AD or 4th - 5th century AD ?	Greek
HD047956	Juliopolis	AE 2000, 1358	AD 215–216	Latin
	Kaisarea Hadrianopolis	HIP 42	Roman Imperial period	Greek
PH265560	Kaisarea Hadrianopolis	IstForsch 39, 38	mid. 3rd c. AD	Greek
	Kaisarea Hadrianopolis	HIP 3	late 3rd century AD	Greek
	Kaisarea Hadrianopolis	HIP 22	late 2nd century AD	Greek
	Kaisarea Hadrianopolis	HIP 24	end of the 2nd/beg. of the 3rd century AD	Greek
PH265532	Kaisarea Hadrianopolis	IstForsch 39, 11	Byzantine period	Greek
PH265520	Kaisarea Hadrianopolis	IstForsch 39, 1	after 98 AD	Greek
	Kaisarea Hadrianopolis	SEG 58: 1473	AD 500 - 550 ?	Greek
	Kaisarea Hadrianopolis	SEG 58: 1474	AD 500 - 550 ?	Greek
	Kaisarea Hadrianopolis	HIP 8	AD 500 - 550 	Greek
	Kaisarea Hadrianopolis	HIP 9	AD 500 - 550 	Greek
	Kaisarea Hadrianopolis	HIP 10	AD 500 - 550 	Greek
	Kaisarea Hadrianopolis	HIP 11	AD 500 - 550 	Greek
	Kaisarea Hadrianopolis	HIP 12	AD 500 - 550 	Greek
	Kaisarea Hadrianopolis	HIP 13	AD 500 - 550 	Greek
	Kaisarea Hadrianopolis	HIP 14	AD 500 - 550 	Greek
	Kaisarea Hadrianopolis	HIP 15	AD 500 - 550 	Greek
	Kaisarea Hadrianopolis	HIP 16	AD 500 - 550 	Greek
	Kaisarea Hadrianopolis	HIP 17	AD 500 - 550 	Greek
	Kaisarea Hadrianopolis	HIP 18	AD 500 - 550 	Greek
	Kaisarea Hadrianopolis	HIP 20	AD 500 - 550 	Greek
	Kaisarea Hadrianopolis	SEG 61: 1084	AD 500 - 550	Greek
	Kaisarea Hadrianopolis	HIP 32	AD 209	Greek
PH265199	Kaisarea Hadrianopolis	BCH 25, 39, 188	78 AD	Latin
	Kaisarea Hadrianopolis	HIP 21	6th century AD	Greek
	Kaisarea Hadrianopolis	HIP 46	6th century AD	Greek
PH265531	Kaisarea Hadrianopolis	IstForsch 39, 10	6th c. AD	Greek
	Kaisarea Hadrianopolis	HIP 19	5th - 6th century AD	Greek
	Kaisarea Hadrianopolis	HIP 30	4th century AD	Greek
	Kaisarea Hadrianopolis	HIP 39	4th century AD	Greek
PH265616	Kaisarea Hadrianopolis	IstForsch 39, 91	4th c. AD	Greek
	Kaisarea Hadrianopolis	HIP 4	3rd century AD ?	Greek
	Kaisarea Hadrianopolis	HIP 23	3rd century AD	Greek
	Kaisarea Hadrianopolis	HIP 25	3rd century AD	Greek
	Kaisarea Hadrianopolis	HIP 26	3rd century AD	Greek
	Kaisarea Hadrianopolis	HIP 27	3rd century AD	Greek
	Kaisarea Hadrianopolis	HIP 28	3rd century AD	Greek
	Kaisarea Hadrianopolis	HIP 29	3rd century AD	Greek
	Kaisarea Hadrianopolis	HIP 31	3rd century AD	Greek
	Kaisarea Hadrianopolis	HIP 33	3rd century AD	Greek
	Kaisarea Hadrianopolis	HIP 35	3rd century AD	Greek
	Kaisarea Hadrianopolis	HIP 36	3rd century AD	Greek
	Kaisarea Hadrianopolis	HIP 37	3rd century AD	Greek
	Kaisarea Hadrianopolis	HIP 40	3rd century AD	Greek
	Kaisarea Hadrianopolis	HIP 41	3rd century AD	Greek
	Kaisarea Hadrianopolis	HIP 43	3rd century AD	Greek
	Kaisarea Hadrianopolis	HIP 45	3rd century AD	Greek
PH265763	Kaisarea Hadrianopolis	SEG 4: 728	3rd c. AD	Greek
	Kaisarea Hadrianopolis	HIP 5	3rd - 4th century AD ?	Greek
	Kaisarea Hadrianopolis	HIP 7	3rd - 4th century AD	Greek
	Kaisarea Hadrianopolis	HIP 34	3rd - 4th century AD	Greek
	Kaisarea Hadrianopolis	HIP 38	3rd - 4th century AD	Greek
	Kaisarea Hadrianopolis	HIP 66	3rd - 4th century AD	Greek
PH265619	Kaisarea Hadrianopolis	IstForsch 39, 94	330 AD	Greek
PH265200	Kaisarea Hadrianopolis	BCH 25, 39, 189	313–324 AD	Latin
	Kaisarea Hadrianopolis	HIP 44	2nd century AD	Greek
	Kaisarea Hadrianopolis	HIP 59	2nd - 3rd century AD	Greek
PH265553	Kaisarea Hadrianopolis	IstForsch 39, 32	2nd – 3rd c. AD	Greek
PH265556	Kaisarea Hadrianopolis	IstForsch 39, 34[2]	2nd – 3rd c. AD	Greek
PH265569	Kaisarea Hadrianopolis	IstForsch 39, 47	2nd – 3rd  c. AD	Greek
PH265570	Kaisarea Hadrianopolis	IstForsch 39, 48	2nd – 3rd  c. AD	Greek
PH265529	Kaisarea Hadrianopolis	IstForsch 39, 8	292–305 AD	Greek
PH265528	Kaisarea Hadrianopolis	IstForsch 39, 7	286–305 AD	Greek
PH265566	Kaisarea Hadrianopolis	IstForsch 39, 44	263 AD	Greek
PH265547	Kaisarea Hadrianopolis	IstForsch 39, 26	252/253 AD	Greek
PH265554	Kaisarea Hadrianopolis	IstForsch 39, 33	243/244 AD	Greek
PH265568	Kaisarea Hadrianopolis	IstForsch 39, 46	243 AD	Greek
PH265612	Kaisarea Hadrianopolis	IstForsch 39, 87	240 AD	Greek
PH265562	Kaisarea Hadrianopolis	IstForsch 39, 40	238 AD	Greek
PH265594	Kaisarea Hadrianopolis	IstForsch 39, 70	223 AD	Greek
