"","ikey","Location","Source","Chronological.Frame","Language"
"711","PH265280","Heraclea Pontica","IK Heraclea Pontica 78","---","Greek"
"712","PH265281","Heraclea Pontica","IK Heraclea Pontica 79","---","Greek"
"713","PH265210","Heraclea Pontica","IK Heraclea Pontica 8","---","Greek"
"714","PH265282","Heraclea Pontica","IK Heraclea Pontica 80","---","Greek"
"715","PH265284","Heraclea Pontica","IK Heraclea Pontica 82","---","Greek"
"716","PH265283","Heraclea Pontica","IK Heraclea Pontica 81","---","Greek"
"717","","Heraclea Pontica","SEG 48: 1503","---","Greek"
"718","","Heraclea Pontica","SEG 58: 1465","---","Greek"
"719","HD051807","Heraclea Pontica ","AE 1994, 1627","383-392 AD","Latin"
"720","HD006520","Heraclea Pontica ","AE 1986, 0643","---","Latin"
"721","","Juliopolis","SEG 50: 1223","Roman Imperial period","Greek"
"722","","Juliopolis","SEG 50: 1224","Roman Imperial period","Greek"
"723","","Juliopolis","AE 2000, 1357; SEG 50: 1222","2nd/3rd century AD or 4th - 5th century AD ?","Greek"
"724","HD047956","Juliopolis","AE 2000, 1358","AD 215-216","Latin"
"725","","Kaisarea Hadrianopolis","HIP 42","Roman Imperial period","Greek"
"726","PH265560","Kaisarea Hadrianopolis","IstForsch 39, 38","mid. 3rd c. AD","Greek"
"727","","Kaisarea Hadrianopolis","HIP 3","late 3rd century AD","Greek"
"728","","Kaisarea Hadrianopolis","HIP 22","late 2nd century AD","Greek"
"729","","Kaisarea Hadrianopolis","HIP 24","end of the 2nd/beg. of the 3rd century AD","Greek"
"730","PH265532","Kaisarea Hadrianopolis","IstForsch 39, 11","Byzantine period","Greek"
"731","PH265520","Kaisarea Hadrianopolis","IstForsch 39, 1","after 98 AD","Greek"
"732","","Kaisarea Hadrianopolis","SEG 58: 1473","AD 500 - 550 ?","Greek"
"733","","Kaisarea Hadrianopolis","SEG 58: 1474","AD 500 - 550 ?","Greek"
"734","","Kaisarea Hadrianopolis","HIP 8","AD 500 - 550 ","Greek"
"735","","Kaisarea Hadrianopolis","HIP 9","AD 500 - 550 ","Greek"
"736","","Kaisarea Hadrianopolis","HIP 10","AD 500 - 550 ","Greek"
"737","","Kaisarea Hadrianopolis","HIP 11","AD 500 - 550 ","Greek"
"738","","Kaisarea Hadrianopolis","HIP 12","AD 500 - 550 ","Greek"
"739","","Kaisarea Hadrianopolis","HIP 13","AD 500 - 550 ","Greek"
"740","","Kaisarea Hadrianopolis","HIP 14","AD 500 - 550 ","Greek"
"741","","Kaisarea Hadrianopolis","HIP 15","AD 500 - 550 ","Greek"
"742","","Kaisarea Hadrianopolis","HIP 16","AD 500 - 550 ","Greek"
"743","","Kaisarea Hadrianopolis","HIP 17","AD 500 - 550 ","Greek"
"744","","Kaisarea Hadrianopolis","HIP 18","AD 500 - 550 ","Greek"
"745","","Kaisarea Hadrianopolis","HIP 20","AD 500 - 550 ","Greek"
"746","","Kaisarea Hadrianopolis","SEG 61: 1084","AD 500 - 550","Greek"
"747","","Kaisarea Hadrianopolis","HIP 32","AD 209","Greek"
"748","PH265199","Kaisarea Hadrianopolis","BCH 25, 39, 188","78 AD","Latin"
"749","","Kaisarea Hadrianopolis","HIP 21","6th century AD","Greek"
"750","","Kaisarea Hadrianopolis","HIP 46","6th century AD","Greek"
"751","PH265531","Kaisarea Hadrianopolis","IstForsch 39, 10","6th c. AD","Greek"
"752","","Kaisarea Hadrianopolis","HIP 19","5th - 6th century AD","Greek"
"753","","Kaisarea Hadrianopolis","HIP 30","4th century AD","Greek"
"754","","Kaisarea Hadrianopolis","HIP 39","4th century AD","Greek"
"755","PH265616","Kaisarea Hadrianopolis","IstForsch 39, 91","4th c. AD","Greek"
"756","","Kaisarea Hadrianopolis","HIP 4","3rd century AD ?","Greek"
"757","","Kaisarea Hadrianopolis","HIP 23","3rd century AD","Greek"
"758","","Kaisarea Hadrianopolis","HIP 25","3rd century AD","Greek"
"759","","Kaisarea Hadrianopolis","HIP 26","3rd century AD","Greek"
"760","","Kaisarea Hadrianopolis","HIP 27","3rd century AD","Greek"
"761","","Kaisarea Hadrianopolis","HIP 28","3rd century AD","Greek"
"762","","Kaisarea Hadrianopolis","HIP 29","3rd century AD","Greek"
"763","","Kaisarea Hadrianopolis","HIP 31","3rd century AD","Greek"
"764","","Kaisarea Hadrianopolis","HIP 33","3rd century AD","Greek"
"765","","Kaisarea Hadrianopolis","HIP 35","3rd century AD","Greek"
"766","","Kaisarea Hadrianopolis","HIP 36","3rd century AD","Greek"
"767","","Kaisarea Hadrianopolis","HIP 37","3rd century AD","Greek"
"768","","Kaisarea Hadrianopolis","HIP 40","3rd century AD","Greek"
"769","","Kaisarea Hadrianopolis","HIP 41","3rd century AD","Greek"
"770","","Kaisarea Hadrianopolis","HIP 43","3rd century AD","Greek"
"771","","Kaisarea Hadrianopolis","HIP 45","3rd century AD","Greek"
"772","PH265763","Kaisarea Hadrianopolis","SEG 4: 728","3rd c. AD","Greek"
"773","","Kaisarea Hadrianopolis","HIP 5","3rd - 4th century AD ?","Greek"
"774","","Kaisarea Hadrianopolis","HIP 7","3rd - 4th century AD","Greek"
"775","","Kaisarea Hadrianopolis","HIP 34","3rd - 4th century AD","Greek"
"776","","Kaisarea Hadrianopolis","HIP 38","3rd - 4th century AD","Greek"
"777","","Kaisarea Hadrianopolis","HIP 66","3rd - 4th century AD","Greek"
"778","PH265619","Kaisarea Hadrianopolis","IstForsch 39, 94","330 AD","Greek"
"779","PH265200","Kaisarea Hadrianopolis","BCH 25, 39, 189","313-324 AD","Latin"
"780","","Kaisarea Hadrianopolis","HIP 44","2nd century AD","Greek"
"781","","Kaisarea Hadrianopolis","HIP 59","2nd - 3rd century AD","Greek"
"782","PH265553","Kaisarea Hadrianopolis","IstForsch 39, 32","2nd - 3rd c. AD","Greek"
"783","PH265556","Kaisarea Hadrianopolis","IstForsch 39, 34[2]","2nd - 3rd c. AD","Greek"
"784","PH265569","Kaisarea Hadrianopolis","IstForsch 39, 47","2nd - 3rd  c. AD","Greek"
"785","PH265570","Kaisarea Hadrianopolis","IstForsch 39, 48","2nd - 3rd  c. AD","Greek"
"786","PH265529","Kaisarea Hadrianopolis","IstForsch 39, 8","292-305 AD","Greek"
"787","PH265528","Kaisarea Hadrianopolis","IstForsch 39, 7","286-305 AD","Greek"
"788","PH265566","Kaisarea Hadrianopolis","IstForsch 39, 44","263 AD","Greek"
"789","PH265547","Kaisarea Hadrianopolis","IstForsch 39, 26","252/253 AD","Greek"
"790","PH265554","Kaisarea Hadrianopolis","IstForsch 39, 33","243/244 AD","Greek"
"791","PH265568","Kaisarea Hadrianopolis","IstForsch 39, 46","243 AD","Greek"
"792","PH265612","Kaisarea Hadrianopolis","IstForsch 39, 87","240 AD","Greek"
"793","PH265562","Kaisarea Hadrianopolis","IstForsch 39, 40","238 AD","Greek"
"794","PH265594","Kaisarea Hadrianopolis","IstForsch 39, 70","223 AD","Greek"
"795","PH265552","Kaisarea Hadrianopolis","IstForsch 39, 31","220 AD","Greek"
"796","PH265611","Kaisarea Hadrianopolis","IstForsch 39, 86","218 AD","Greek"
"797","PH265527","Kaisarea Hadrianopolis","IstForsch 39, 6","212-217 AD","Greek"
"798","PH265551","Kaisarea Hadrianopolis","IstForsch 39, 30","205 AD","Greek"
"799","PH265564","Kaisarea Hadrianopolis","IstForsch 39, 42","1st - 2nd c. AD","Greek"
"800","PH265526","Kaisarea Hadrianopolis","IstForsch 39, 5","199-210 AD","Greek"
"801","PH265533","Kaisarea Hadrianopolis","IstForsch 39, 12","196 AD","Greek"
"802","PH265536","Kaisarea Hadrianopolis","IstForsch 39, 15","187/188 AD","Greek"
"803","PH265525","Kaisarea Hadrianopolis","IstForsch 39, 4","181/182 AD","Greek"
"804","PH265542","Kaisarea Hadrianopolis","IstForsch 39, 21","175 AD","Greek"
"805","PH265541","Kaisarea Hadrianopolis","IstForsch 39, 20","165 AD","Greek"
"806","PH265602","Kaisarea Hadrianopolis","IstForsch 39, 78","152 AD","Greek"
"807","PH265523","Kaisarea Hadrianopolis","IstForsch 39, 3","138-161 AD","Greek"
"808","PH265524","Kaisarea Hadrianopolis","IstForsch 39, 3bis","138-161 AD","Greek"
"809","PH265522","Kaisarea Hadrianopolis","IstForsch 39, 2","138 AD","Greek"
"810","PH265521","Kaisarea Hadrianopolis","IstForsch 39, 1bis","119 AD","Greek"
"811","PH265530","Kaisarea Hadrianopolis","IstForsch 39, 9","100 AD","Greek"
"812","PH265186","Kaisarea Hadrianopolis","BCH 13, 315, 24","---","Greek"
"813","PH265194","Kaisarea Hadrianopolis","BCH 25, 30, 172","---","Greek"
"814","PH265201","Kaisarea Hadrianopolis","BCH 25, 46, 190","---","Greek"
"815","PH265534","Kaisarea Hadrianopolis","IstForsch 39, 13","---","Greek"
"816","PH265535","Kaisarea Hadrianopolis","IstForsch 39, 14","---","Greek"
"817","PH265537","Kaisarea Hadrianopolis","IstForsch 39, 16","---","Greek"
"818","PH265538","Kaisarea Hadrianopolis","IstForsch 39, 17","---","Greek"
"819","PH265539","Kaisarea Hadrianopolis","IstForsch 39, 18","---","Greek"
"820","PH265540","Kaisarea Hadrianopolis","IstForsch 39, 19","---","Greek"
"821","PH265543","Kaisarea Hadrianopolis","IstForsch 39, 22","---","Greek"
"822","PH265544","Kaisarea Hadrianopolis","IstForsch 39, 23","---","Greek"
"823","PH265545","Kaisarea Hadrianopolis","IstForsch 39, 24","---","Greek"
"824","PH265546","Kaisarea Hadrianopolis","IstForsch 39, 25","---","Greek"
"825","PH265548","Kaisarea Hadrianopolis","IstForsch 39, 27","---","Greek"
"826","PH265549","Kaisarea Hadrianopolis","IstForsch 39, 28","---","Greek"
"827","PH265550","Kaisarea Hadrianopolis","IstForsch 39, 29","---","Greek"
"828","PH265555","Kaisarea Hadrianopolis","IstForsch 39, 34","---","Greek"
"829","PH265557","Kaisarea Hadrianopolis","IstForsch 39, 35","---","Greek"
"830","PH265558","Kaisarea Hadrianopolis","IstForsch 39, 36","---","Greek"
"831","PH265559","Kaisarea Hadrianopolis","IstForsch 39, 37","---","Greek"
"832","PH265561","Kaisarea Hadrianopolis","IstForsch 39, 39","---","Greek"
"833","PH265563","Kaisarea Hadrianopolis","IstForsch 39, 41","---","Greek"
"834","PH265565","Kaisarea Hadrianopolis","IstForsch 39, 43","---","Greek"
"835","PH265567","Kaisarea Hadrianopolis","IstForsch 39, 45","---","Greek"
"836","PH265571","Kaisarea Hadrianopolis","IstForsch 39, 49","---","Greek"
"837","PH265572","Kaisarea Hadrianopolis","IstForsch 39, 49[2]","---","Greek"
"838","PH265573","Kaisarea Hadrianopolis","IstForsch 39, 50","---","Greek"
"839","PH265574","Kaisarea Hadrianopolis","IstForsch 39, 51","---","Greek"
"840","PH265575","Kaisarea Hadrianopolis","IstForsch 39, 52","---","Greek"
"841","PH265576","Kaisarea Hadrianopolis","IstForsch 39, 53","---","Greek"
"842","PH265577","Kaisarea Hadrianopolis","IstForsch 39, 54","---","Greek"
"843","PH265578","Kaisarea Hadrianopolis","IstForsch 39, 55","---","Greek"
"844","PH265579","Kaisarea Hadrianopolis","IstForsch 39, 56","---","Greek"
"845","PH265580","Kaisarea Hadrianopolis","IstForsch 39, 57","---","Greek"
"846","PH265581","Kaisarea Hadrianopolis","IstForsch 39, 58","---","Greek"
"847","PH265582","Kaisarea Hadrianopolis","IstForsch 39, 59","---","Greek"
"848","PH265583","Kaisarea Hadrianopolis","IstForsch 39, 60","---","Greek"
"849","PH265584","Kaisarea Hadrianopolis","IstForsch 39, 61","---","Greek"
"850","PH265585","Kaisarea Hadrianopolis","IstForsch 39, 62","---","Greek"
"851","PH265586","Kaisarea Hadrianopolis","IstForsch 39, 63","---","Greek"
"852","PH265587","Kaisarea Hadrianopolis","IstForsch 39, 64","---","Greek"
"853","PH265588","Kaisarea Hadrianopolis","IstForsch 39, 65","---","Greek"
"854","PH265589","Kaisarea Hadrianopolis","IstForsch 39, 65 [2]","---","Greek"
"855","PH265590","Kaisarea Hadrianopolis","IstForsch 39, 66","---","Greek"
"856","PH265591","Kaisarea Hadrianopolis","IstForsch 39, 67","---","Greek"
"857","PH265592","Kaisarea Hadrianopolis","IstForsch 39, 68","---","Greek"
"858","PH265593","Kaisarea Hadrianopolis","IstForsch 39, 69","---","Greek"
"859","PH265595","Kaisarea Hadrianopolis","IstForsch 39, 71","---","Greek"
"860","PH265596","Kaisarea Hadrianopolis","IstForsch 39, 72","---","Greek"
"861","PH265597","Kaisarea Hadrianopolis","IstForsch 39, 73","---","Greek"
"862","PH265598","Kaisarea Hadrianopolis","IstForsch 39, 74","---","Greek"
"863","PH265599","Kaisarea Hadrianopolis","IstForsch 39, 75","---","Greek"
"864","PH265600","Kaisarea Hadrianopolis","IstForsch 39, 76","---","Greek"
"865","PH265601","Kaisarea Hadrianopolis","IstForsch 39, 77","---","Greek"
"866","PH265603","Kaisarea Hadrianopolis","IstForsch 39, 79","---","Greek"
"867","PH265604","Kaisarea Hadrianopolis","IstForsch 39, 80","---","Greek"
"868","PH265605","Kaisarea Hadrianopolis","IstForsch 39, 81","---","Greek"
"869","PH265606","Kaisarea Hadrianopolis","IstForsch 39, 82","---","Greek"
"870","PH265607","Kaisarea Hadrianopolis","IstForsch 39, 83","---","Greek"
"871","PH265608","Kaisarea Hadrianopolis","IstForsch 39, 84","---","Greek"
"872","PH265609","Kaisarea Hadrianopolis","IstForsch 39, 85","---","Greek"
"873","PH265610","Kaisarea Hadrianopolis","IstForsch 39, 85 [note]","---","Greek"
"874","PH265613","Kaisarea Hadrianopolis","IstForsch 39, 88","---","Greek"
"875","PH265614","Kaisarea Hadrianopolis","IstForsch 39, 89","---","Greek"
"876","PH265615","Kaisarea Hadrianopolis","IstForsch 39, 90","---","Greek"
"877","PH265617","Kaisarea Hadrianopolis","IstForsch 39, 92","---","Greek"
"878","PH265618","Kaisarea Hadrianopolis","IstForsch 39, 93","---","Greek"
"879","PH279774","Nicaea","SEG 14: 770","Roman period","Greek"
"880","","Nicaea","SEG 47: 1677","Roman Imperial period","Greek"
"881","","Nicaea","SEG 47: 1678","Roman Imperial period","Greek"
"882","","Nicaea","SEG 47: 1680","Roman Imperial period","Greek"
"883","","Nicaea","SEG 47: 1681","Roman Imperial period","Greek"
"884","","Nicaea","SEG 49: 1790","Roman Imperial period","Greek"
"885","","Nicaea","SEG 57: 1274","Roman Imperial period","Greek"
"886","","Nicaea","SEG 57: 1280","Roman Imperial period","Greek"
"887","","Nicaea","SEG 56: 1391","Roman Imperial period","Greek"
"888","","Nicaea","SEG 56: 1396","Roman Imperial period","Greek"
"889","","Nicaea","SEG 55: 1340","Roman Imperial period","Greek"
"890","","Nicaea","SEG 55: 1343","Roman Imperial period","Greek"
"891","","Nicaea","SEG 55: 1344","Roman Imperial period","Greek"
"892","","Nicaea","SEG 55: 1345","Roman Imperial period","Greek"
"893","","Nicaea","SEG 55: 1346","Roman Imperial period","Greek"
"894","","Nicaea","SEG 55: 1347","Roman Imperial period","Greek"
"895","","Nicaea","SEG 61: 1047","Roman Imperial period","Greek"
"896","","Nicaea","SEG 61: 1048","Roman Imperial period","Greek"
"897","","Nicaea","SEG 61: 1049","Roman Imperial period","Greek"
"898","","Nicaea","SEG 61: 1050","Roman Imperial period","Greek"
"899","","Nicaea","SEG 61: 1051","Roman Imperial period","Greek"
"900","","Nicaea","SEG 61: 1052","Roman Imperial period","Greek"
"901","","Nicaea","SEG 61: 1053","Roman Imperial period","Greek"
"902","","Nicaea","SEG 60: 1338","Roman Imperial period","Greek"
"903","","Nicaea","SEG 60: 1339","Roman Imperial period","Greek"
"904","","Nicaea","SEG 60: 1340","Roman Imperial period","Greek"
"905","","Nicaea","SEG 60: 1341","Roman Imperial period","Greek"
"906","","Nicaea","SEG 60: 1342","Roman Imperial period","Greek"
"907","","Nicaea","SEG 60: 1343","Roman Imperial period","Greek"
"908","","Nicaea","SEG 60: 1344","Roman Imperial period","Greek"
"909","","Nicaea","AE 1997, 1406","Roman Imp. period","Greek"
"910","","Nicaea","AE 1997, 1407","Roman Imp. period","Greek"
"911","","Nicaea","AE 1997, 1408","Roman Imp. period","Greek"
"912","PH277802","Nicaea","IK Iznik 10","Roman Imp. period","Latin"
"913","PH277866","Nicaea","IK Iznik 100","Roman Imp. period","Greek"
"914","PH278100","Nicaea","IK Iznik 1001","Roman Imp. period","Gr/Lat"
"915","PH278105","Nicaea","IK Iznik 1006","Roman Imp. period","Gr/Lat"
"916","PH278106","Nicaea","IK Iznik 1007","Roman Imp. period","Gr/Lat"
"917","PH277867","Nicaea","IK Iznik 101","Roman Imp. period","Greek"
"918","PH278113","Nicaea","IK Iznik 1014","Roman Imp. period","Latin"
"919","PH277868","Nicaea","IK Iznik 102","Roman Imp. period","Greek"
"920","PH277869","Nicaea","IK Iznik 103 [1]","Roman Imp. period","Greek"
"921","PH277870","Nicaea","IK Iznik 103 [2]","Roman Imp. period","Greek"
"922","PH278129","Nicaea","IK Iznik 1030","Roman Imp. period","Greek"
"923","PH278130","Nicaea","IK Iznik 1031","Roman Imp. period","Greek"
"924","PH278132","Nicaea","IK Iznik 1033","Roman Imp. period","Greek"
"925","PH277871","Nicaea","IK Iznik 104","Roman Imp. period","Greek"
"926","PH278135","Nicaea","IK Iznik 1041","Roman Imp. period","Greek"
"927","PH277872","Nicaea","IK Iznik 105","Roman Imp. period","Latin"
"928","PH278140","Nicaea","IK Iznik 1051","Roman Imp. period","Greek"
"929","PH278141","Nicaea","IK Iznik 1052","Roman Imp. period","Greek"
"930","PH277873","Nicaea","IK Iznik 106","Roman Imp. period","Greek"
"931","PH278146","Nicaea","IK Iznik 1061","Roman Imp. period","Greek"
"932","PH278148","Nicaea","IK Iznik 1063","Roman Imp. period","Greek"
"933","PH278149","Nicaea","IK Iznik 1064","Roman Imp. period","Greek"
"934","PH277874","Nicaea","IK Iznik 107","Roman Imp. period","Greek"
"935","PH278154","Nicaea","IK Iznik 1076","Roman Imp. period","Greek"
"936","PH278166","Nicaea","IK Iznik 1091","Roman Imp. period","Greek"
"937","PH278167","Nicaea","IK Iznik 1092","Roman Imp. period","Greek"
"938","PH278168","Nicaea","IK Iznik 1093","Roman Imp. period","Greek"
"939","PH278171","Nicaea","IK Iznik 1096","Roman Imp. period","Greek"
"940","PH278180","Nicaea","IK Iznik 1105","Roman Imp. period","Greek"
"941","PH278190","Nicaea","IK Iznik 1128","Roman Imp. period","Greek"
"942","PH277876","Nicaea","IK Iznik 117","Roman Imp. period","Greek"
"943","PH277877","Nicaea","IK Iznik 118","Roman Imp. period","Greek"
"944","PH277878","Nicaea","IK Iznik 119","Roman Imp. period","Greek"
"945","PH277879","Nicaea","IK Iznik 120","Roman Imp. period","Greek"
"946","PH277880","Nicaea","IK Iznik 121","Roman Imp. period","Greek"
"947","PH277881","Nicaea","IK Iznik 122","Roman Imp. period","Gr/Lat"
"948","PH277882","Nicaea","IK Iznik 123","Roman Imp. period","Gr/Lat"
"949","PH277883","Nicaea","IK Iznik 124","Roman Imp. period","Gr/Lat"
"950","PH277884","Nicaea","IK Iznik 125","Roman Imp. period","Greek"
"951","PH278246","Nicaea","IK Iznik 1258","Roman Imp. period","Greek"
"952","PH277885","Nicaea","IK Iznik 126","Roman Imp. period","Greek"
"953","PH278254","Nicaea","IK Iznik 1266","Roman Imp. period","Latin"
"954","PH277886","Nicaea","IK Iznik 127","Roman Imp. period","Greek"
"955","PH277887","Nicaea","IK Iznik 128","Roman Imp. period","Greek"
"956","PH278260","Nicaea","IK Iznik 1289","Roman Imp. period","Greek"
"957","PH277888","Nicaea","IK Iznik 129","Roman Imp. period","Greek"
"958","PH278264","Nicaea","IK Iznik 1293","Roman Imp. period","Greek"
"959","PH278265","Nicaea","IK Iznik 1294","Roman Imp. period","Greek"
"960","PH277889","Nicaea","IK Iznik 130","Roman Imp. period","Greek"
"961","PH277890","Nicaea","IK Iznik 131","Roman Imp. period","Greek"
"962","PH277891","Nicaea","IK Iznik 132","Roman Imp. period","Greek"
"963","PH278293","Nicaea","IK Iznik 1322","Roman Imp. period","Greek"
"964","PH277892","Nicaea","IK Iznik 133","Roman Imp. period","Greek"
"965","PH278301","Nicaea","IK Iznik 1330","Roman Imp. period","Greek"
"966","PH277893","Nicaea","IK Iznik 134","Roman Imp. period","Greek"
"967","PH277894","Nicaea","IK Iznik 135","Roman Imp. period","Greek"
"968","PH277895","Nicaea","IK Iznik 136","Roman Imp. period","Greek"
"969","PH277896","Nicaea","IK Iznik 137","Roman Imp. period","Greek"
"970","PH278343","Nicaea","IK Iznik 1372","Roman Imp. period","Greek"
"971","PH277897","Nicaea","IK Iznik 138","Roman Imp. period","Greek"
"972","PH277898","Nicaea","IK Iznik 139","Roman Imp. period","Greek"
"973","PH278368","Nicaea","IK Iznik 1397","Roman Imp. period","Greek"
"974","PH277899","Nicaea","IK Iznik 140","Roman Imp. period","Greek"
"975","PH277900","Nicaea","IK Iznik 141","Roman Imp. period","Greek"
"976","PH277901","Nicaea","IK Iznik 142","Roman Imp. period","Greek"
"977","PH277902","Nicaea","IK Iznik 143","Roman Imp. period","Greek"
"978","PH277903","Nicaea","IK Iznik 144","Roman Imp. period","Greek"
"979","PH277904","Nicaea","IK Iznik 145","Roman Imp. period","Greek"
"980","PH277905","Nicaea","IK Iznik 146","Roman Imp. period","Greek"
"981","PH277906","Nicaea","IK Iznik 147","Roman Imp. period","Greek"
"982","PH278456","Nicaea","IK Iznik 1501","Roman Imp. period","Greek"
"983","PH278460","Nicaea","IK Iznik 1505","Roman Imp. period","Greek"
"984","PH278461","Nicaea","IK Iznik 1506","Roman Imp. period","Greek"
"985","PH278462","Nicaea","IK Iznik 1507","Roman Imp. period","Greek"
"986","PH278490","Nicaea","IK Iznik 1595","Roman Imp. period","Greek"
"987","PH277907","Nicaea","IK Iznik 171","Roman Imp. period","Greek"
"988","PH277908","Nicaea","IK Iznik 172","Roman Imp. period","Greek"
"989","PH277909","Nicaea","IK Iznik 173","Roman Imp. period","Greek"
"990","PH277910","Nicaea","IK Iznik 174","Roman Imp. period","Greek"
"991","PH277912","Nicaea","IK Iznik 176","Roman Imp. period","Latin"
"992","PH277917","Nicaea","IK Iznik 195a","Roman Imp. period","Greek"
"993","PH277918","Nicaea","IK Iznik 196","Roman Imp. period","Greek"
"994","PH277919","Nicaea","IK Iznik 197","Roman Imp. period","Greek"
"995","PH277920","Nicaea","IK Iznik 198","Roman Imp. period","Greek"
"996","PH277921","Nicaea","IK Iznik 199","Roman Imp. period","Greek"
"997","PH277801","Nicaea","IK Iznik 2","Roman Imp. period","Greek"
"998","PH277922","Nicaea","IK Iznik 200","Roman Imp. period","Greek"
"999","PH277923","Nicaea","IK Iznik 201","Roman Imp. period","Greek"
"1000","PH277924","Nicaea","IK Iznik 202","Roman Imp. period","Greek"
"1001","PH277925","Nicaea","IK Iznik 203","Roman Imp. period","Greek"
"1002","PH277926","Nicaea","IK Iznik 204","Roman Imp. period","Greek"
"1003","PH277927","Nicaea","IK Iznik 205","Roman Imp. period","Greek"
"1004","PH277928","Nicaea","IK Iznik 206","Roman Imp. period","Greek"
"1005","PH277929","Nicaea","IK Iznik 207","Roman Imp. period","Greek"
"1006","PH277930","Nicaea","IK Iznik 208","Roman Imp. period","Greek"
"1007","PH277931","Nicaea","IK Iznik 209","Roman Imp. period","Greek"
"1008","PH277932","Nicaea","IK Iznik 210","Roman Imp. period","Greek"
"1009","PH277933","Nicaea","IK Iznik 211","Roman Imp. period","Greek"
"1010","PH277936","Nicaea","IK Iznik 214","Roman Imp. period","Greek"
"1011","PH277937","Nicaea","IK Iznik 215","Roman Imp. period","Greek"
"1012","PH277938","Nicaea","IK Iznik 216","Roman Imp. period","Greek"
"1013","PH277939","Nicaea","IK Iznik 217","Roman Imp. period","Greek"
"1014","PH277940","Nicaea","IK Iznik 218","Roman Imp. period","Greek"
"1015","PH277941","Nicaea","IK Iznik 219","Roman Imp. period","Greek"
"1016","PH277942","Nicaea","IK Iznik 220","Roman Imp. period","Greek"
"1017","PH277944","Nicaea","IK Iznik 222","Roman Imp. period","Greek"
"1018","PH277945","Nicaea","IK Iznik 223","Roman Imp. period","Greek"
"1019","PH277948","Nicaea","IK Iznik 226","Roman Imp. period","Greek"
"1020","PH277949","Nicaea","IK Iznik 227","Roman Imp. period","Greek"
"1021","PH277952","Nicaea","IK Iznik 230","Roman Imp. period","Greek"
"1022","PH277953","Nicaea","IK Iznik 275","Roman Imp. period","Greek"
"1023","PH277954","Nicaea","IK Iznik 276","Roman Imp. period","Greek"
"1024","PH277955","Nicaea","IK Iznik 277","Roman Imp. period","Greek"
"1025","PH277956","Nicaea","IK Iznik 278","Roman Imp. period","Greek"
"1026","PH277959","Nicaea","IK Iznik 281","Roman Imp. period","Greek"
"1027","PH277960","Nicaea","IK Iznik 282","Roman Imp. period","Greek"
"1028","PH277961","Nicaea","IK Iznik 283","Roman Imp. period","Greek"
"1029","PH277962","Nicaea","IK Iznik 284","Roman Imp. period","Greek"
"1030","PH277963","Nicaea","IK Iznik 285","Roman Imp. period","Greek"
"1031","PH277819","Nicaea","IK Iznik 33","Roman Imp. period","Greek"
"1032","PH277966","Nicaea","IK Iznik 331","Roman Imp. period","Greek"
"1033","PH277967","Nicaea","IK Iznik 332","Roman Imp. period","Greek"
"1034","PH277968","Nicaea","IK Iznik 333","Roman Imp. period","Greek"
"1035","PH277969","Nicaea","IK Iznik 334","Roman Imp. period","Greek"
"1036","PH277970","Nicaea","IK Iznik 335","Roman Imp. period","Greek"
"1037","PH277971","Nicaea","IK Iznik 336","Roman Imp. period","Greek"
"1038","PH277972","Nicaea","IK Iznik 337","Roman Imp. period","Greek"
"1039","PH277973","Nicaea","IK Iznik 338","Roman Imp. period","Greek"
"1040","PH277974","Nicaea","IK Iznik 339","Roman Imp. period","Greek"
"1041","PH277820","Nicaea","IK Iznik 34","Roman Imp. period","Greek"
"1042","PH277975","Nicaea","IK Iznik 340","Roman Imp. period","Greek"
"1043","PH277976","Nicaea","IK Iznik 341","Roman Imp. period","Greek"
"1044","PH277977","Nicaea","IK Iznik 342","Roman Imp. period","Greek"
"1045","PH277978","Nicaea","IK Iznik 343","Roman Imp. period","Greek"
"1046","PH277979","Nicaea","IK Iznik 344","Roman Imp. period","Greek"
"1047","PH277980","Nicaea","IK Iznik 345","Roman Imp. period","Greek"
"1048","PH277981","Nicaea","IK Iznik 346","Roman Imp. period","Greek"
"1049","PH277982","Nicaea","IK Iznik 347","Roman Imp. period","Greek"
"1050","PH277983","Nicaea","IK Iznik 348","Roman Imp. period","Greek"
"1051","PH277984","Nicaea","IK Iznik 349","Roman Imp. period","Greek"
"1052","PH277821","Nicaea","IK Iznik 35","Roman Imp. period","Greek"
"1053","PH277985","Nicaea","IK Iznik 350","Roman Imp. period","Greek"
"1054","PH277986","Nicaea","IK Iznik 351","Roman Imp. period","Greek"
"1055","PH277987","Nicaea","IK Iznik 352","Roman Imp. period","Greek"
"1056","PH277988","Nicaea","IK Iznik 353","Roman Imp. period","Greek"
"1057","PH277989","Nicaea","IK Iznik 354","Roman Imp. period","Greek"
"1058","PH277990","Nicaea","IK Iznik 355","Roman Imp. period","Greek"
"1059","PH277991","Nicaea","IK Iznik 356","Roman Imp. period","Greek"
"1060","PH277992","Nicaea","IK Iznik 357","Roman Imp. period","Greek"
"1061","PH277993","Nicaea","IK Iznik 358","Roman Imp. period","Greek"
"1062","PH277994","Nicaea","IK Iznik 359","Roman Imp. period","Greek"
"1063","PH277822","Nicaea","IK Iznik 36","Roman Imp. period","Greek"
"1064","PH277995","Nicaea","IK Iznik 360","Roman Imp. period","Greek"
"1065","PH277996","Nicaea","IK Iznik 361","Roman Imp. period","Greek"
